ProbeName,TargetName,Target_Name,HUGOSymbol,Accessions,AnalyteType,CodeClass,TargetGroup
DPROT_00773.1,Ikaros,Ikaros,IKZF1,"R9R4D9,C9JTB0,Q13422",Protein,Endogenous,All Targets
DPROT_00734.1,Collagen IV,Collagen IV,"COL4A5,COL4A4,COL4A3,COL4A2,COL4A1","P53420,Q01955,A7MBN3,P02462,A0A024RDW8,P29400,F5H5K0,P08572,Q49AM6,A5PKV2",Protein,Endogenous,"All Targets, Matrix Remodeling and Metastasis, Cell Adhesion & Motility, PDGF Signaling, Differentiation, PI3K-Akt Signaling"
DPROT_00976.1,TRAF1,TRAF1,TRAF1,Q13077,Protein,Endogenous,"All Targets, TNF Signaling, NF-kB Signaling, Epigenetic Modification, Apoptosis"
DPROT_00818.1,CD66b,CD66b,CEACAM8,"B4DLI3,Q0Z7S6,P31997",Protein,Endogenous,All Targets
DPROT_00860.1,PDGFR alpha + PDGFR beta,PDGFR alpha + PDGFR beta,"PDGFRB,PDGFRA","P09619,P16234,Q59F04",Protein,Endogenous,"All Targets, Cell Adhesion & Motility, PDGF Signaling, Oxidative Stress, Endocytosis, PI3K-Akt Signaling, MAPK Signaling, IDH1/2, JAK-STAT Signaling, TGF-beta Signaling"
DPROT_00898.1,PI 3 Kinase p85 beta,PI 3 Kinase p85 beta,PIK3R2,O00459,Protein,Endogenous,"All Targets, Insulin Signaling, TNF Signaling, VEGF Signaling, Cell Adhesion & Motility, PDGF Signaling, Apoptosis, Myeloid Inflammation, Lymphocyte Trafficking, Lipid Metabolism, Estrogen Signaling, Differentiation, PI3K-Akt Signaling, FoxO Signaling, Other Interleukin Signaling, Autophagy, mTOR Signaling, Chemokine Signaling, TCR Signaling, HIF1 Signaling, TLR Signaling, JAK-STAT Signaling, Senescence, AMPK Signaling, IL-2 Signaling"
DPROT_01001.1,FOXO4/AFX,FOXO4/AFX,FOXO4,P98177,Protein,Endogenous,"All Targets, PI3K-Akt Signaling, FoxO Signaling"
DPROT_01120.1,Hexokinase 1,Hexokinase 1,HK1,"B3KXY9,Q59FD4,A0A024QZK7,A8K7J7,P78542,P19367",Protein,Endogenous,"All Targets, Insulin Signaling, Glycolysis & Glucose Transport, HIF1 Signaling"
DPROT_01200.1,Smad3,Smad3,SMAD3,"Q9P0T0,A0A024R5Z3,P84022",Protein,Endogenous,"All Targets, Notch Signaling, Treg Differentiation, TH17 Differentiation, Endocytosis, Differentiation, FoxO Signaling, Senescence, Wnt Signaling, IL-1 Signaling, Cell Cycle, TGF-beta Signaling, EMT"
DPROT_01178.1,ATF3,ATF3,ATF3,P18847,Protein,Endogenous,All Targets
DPROT_01211.1,Bid,Bid,BID,"B3KT21,B2ZP79,A8ASI8,P55957",Protein,Endogenous,"All Targets, Apoptosis, p53 Signaling"
DPROT_01193.1,CD90 / Thy1,CD90 / Thy1,THY1,"P04216,B0YJA4",Protein,Endogenous,"All Targets, Lymphocyte Trafficking, Hedgehog Signaling"
DPROT_01009.1,p53 (phospho S392),p53 (phospho S392),TP53,"A0A087X1Q1,K7PPA8,H2EHT1,Q53GA5,P04637,A0A087WT22,A0A087WXZ1",Protein,Endogenous,"All Targets, Notch Signaling, Myc, Epigenetic Modification, Apoptosis, Oxidative Stress, p53 Signaling, DNA Damage Repair, PI3K-Akt Signaling, MAPK Signaling, Other Interleukin Signaling, Senescence, Wnt Signaling, Cell Cycle, EMT"
DPROT_01198.1,S100P,S100P,S100P,P25815,Protein,Endogenous,All Targets
DPROT_00526.1,MICA + MICB,MICA + MICB,"MICB,MICA","Q29980,A0A024RCL3,B4DUT9,F5H7Q8,X6R344,A0A0G2JHB5,A0A0G2JJ55,Q96QC4,B7Z8M1",Protein,Endogenous,"All Targets, Oxidative Stress, Lymphocyte Regulation"
DPROT_00841.1,CDKN2A/p14ARF,CDKN2A/p14ARF,CDKN2A,"K7PML8,G3XAG3,Q8N726,P42771",Protein,Endogenous,"All Targets, Apoptosis, p53 Signaling, Senescence, Cell Cycle"
DPROT_00749.1,Histone H2A.X,Histone H2A.X,H2AX,P16104,Protein,Endogenous,"All Targets, Notch Signaling, Immortality & Stemness, Epigenetic Modification, DNA Damage Repair, Estrogen Signaling, Differentiation, Senescence, Wnt Signaling, Cell Cycle"
DPROT_01165.1,IRF4,IRF4,IRF4,Q15306,Protein,Endogenous,"All Targets, Treg Differentiation, TH17 Differentiation, T Cell Exhaustion, Other Interleukin Signaling, Type II Interferon Signaling, Type I Interferon Signaling"
DPROT_01164.1,CCR5,CCR5,CCR5,"P51681,Q38L21",Protein,Endogenous,"All Targets, Endocytosis, Other Interleukin Signaling, Chemokine Signaling"
DPROT_00432.1,COX2 / Cyclooxygenase 2,COX2 / Cyclooxygenase 2,PTGS2,P35354,Protein,Endogenous,"All Targets, TNF Signaling, VEGF Signaling, NF-kB Signaling, Prostaglandin Inflammation, Oxidative Stress, Lipid Metabolism, Other Interleukin Signaling, TGF-beta Signaling, EMT"
DPROT_00725.1,IKKi/IKKe,IKKi/IKKe,IKBKE,"Q14164,A0A075B7B4",Protein,Endogenous,"All Targets, TLR Signaling"
DPROT_01194.1,MMP9,MMP9,MMP9,P14780,Protein,Endogenous,"All Targets, TNF Signaling, Epigenetic Modification, Matrix Remodeling and Metastasis, Oxidative Stress, Lymphocyte Trafficking, Estrogen Signaling, Differentiation, Other Interleukin Signaling, EMT"
DPROT_01217.1,Pan Trk,Pan Trk,"NTRK1,NTRK2,NTRK3","O95193,B7Z7U4,Q548C2,Q16288,X5D7M5,X5DNW6,Q96CY4,X5D2R1,Q5VWE5,X5DR71,Q16620,A0A024R230,P04629",Protein,Endogenous,"All Targets, Epigenetic Modification, Apoptosis, PI3K-Akt Signaling, MAPK Signaling, EMT"
DPROT_01003.1,PCNA,PCNA,PCNA,P12004,Protein,Endogenous,"All Targets, Immortality & Stemness, Oxidative Stress, DNA Damage Repair, Cell Cycle"
DPROT_00953.1,Poliovirus Receptor/PVR,Poliovirus Receptor/PVR,PVR,"A0A0C4DG49,A8K4I1,P15151,A0A0A0MSA9",Protein,Endogenous,"All Targets, Cell Adhesion & Motility, Lymphocyte Regulation"
DPROT_00900.1,PTEN,PTEN,PTEN,"P60484,F6KD01",Protein,Endogenous,"All Targets, Cell Adhesion & Motility, Lipid Metabolism, p53 Signaling, PI3K-Akt Signaling, FoxO Signaling, Autophagy, mTOR Signaling, TCR Signaling, Senescence, EMT"
DPROT_01027.1,Cathepsin G,Cathepsin G,CTSG,P08311,Protein,Endogenous,"All Targets, Matrix Remodeling and Metastasis, Lysosome, IL-1 Signaling"
DPROT_01029.1,beta Actin,beta Actin,ACTB,"P60709,Q1KLZ0",Protein,Endogenous,"All Targets, VEGF Signaling, Epigenetic Modification, Cell Adhesion & Motility, Apoptosis, Lymphocyte Trafficking, Endocytosis, DNA Damage Repair, Differentiation, MAPK Signaling, TGF-beta Signaling"
DPROT_01101.1,TAK1,TAK1,MAP3K7,O43318,Protein,Endogenous,"All Targets, TNF Signaling, NF-kB Signaling, Myeloid Inflammation, MAPK Signaling, Autophagy, TCR Signaling, IL-17 Signaling, TLR Signaling, Wnt Signaling, IL-1 Signaling, AMPK Signaling"
DPROT_01058.1,PRAME,PRAME,PRAME,"B7ZAT0,A0A024R1E6,B7Z7K8,P78395,B7Z986",Protein,Endogenous,"All Targets, Cancer Antigens"
DPROT_01019.1,ALK,ALK,ALK,"Q9UM73,B6D4Y2",Protein,Endogenous,All Targets
DPROT_00845.1,CDK1 + Cdk2 + Cdk3 (phospho T14),CDK1 + Cdk2 + Cdk3 (phospho T14),"CDK1,CDK2,CDK3","A0A024RB77,A0A024RB10,P06493,Q00526,E7ESI2,G3V5T9,A0A024QZJ8,I6L9I5,B4DDL9,B7Z3D6,P24941",Protein,Endogenous,"All Targets, Oxidative Stress, p53 Signaling, DNA Damage Repair, Differentiation, PI3K-Akt Signaling, MAPK Signaling, FoxO Signaling, Senescence, Cell Cycle"
DPROT_00522.1,E Cadherin,E Cadherin,CDH1,"P12830,A0A0U2ZQU7,Q9UII7,B3GN61",Protein,Endogenous,"All Targets, Matrix Remodeling and Metastasis, Cell Adhesion & Motility, Apoptosis, Lymphocyte Regulation, EMT"
DPROT_00389.1,Cytokeratin 19,Cytokeratin 19,KRT19,P08727,Protein,Endogenous,"All Targets, Androgen Signaling, Estrogen Signaling, Differentiation"
DPROT_01125.1,GRP78 BiP,GRP78 BiP,HSPA5,"V9HWB4,P11021",Protein,Endogenous,"All Targets, Proteotoxic Stress, MHC Class I Antigen Presentation, mTOR Signaling"
DPROT_00849.1,CD36,CD36,CD36,"B7Z6C3,A4D1B1,P16671,E9PLT1",Protein,Endogenous,"All Targets, Oxidative Stress, Lipid Metabolism, MHC Class I Antigen Presentation, Differentiation, Other Interleukin Signaling, PPAR Signaling, TLR Signaling, NO Signaling, AMPK Signaling"
DPROT_00896.1,mTOR,mTOR,MTOR,P42345,Protein,Endogenous,"All Targets, Insulin Signaling, VEGF Signaling, TH17 Differentiation, p53 Signaling, PI3K-Akt Signaling, Autophagy, mTOR Signaling, HIF1 Signaling, JAK-STAT Signaling, Senescence, AMPK Signaling, EMT"
DPROT_00962.1,TROP2,TROP2,TACSTD2,P09758,Protein,Endogenous,All Targets
DPROT_00843.1,C4a,C4a,"C4A,C4B,C4B_2","P0C0L5,P0C0L4",Protein,Endogenous,"All Targets, Complement System"
DPROT_00420.1,Cyclin B1,Cyclin B1,CCNB1,P14635,Protein,Endogenous,"All Targets, p53 Signaling, FoxO Signaling, Senescence, Cell Cycle"
DPROT_00161.1,SIRT2,SIRT2,SIRT2,"A0A024R0G8,A0A0A0MRF5,Q8IXJ6",Protein,Endogenous,"All Targets, Oxidative Stress, Cell Cycle"
DPROT_00730.1,CXCR3,CXCR3,CXCR3,P49682,Protein,Endogenous,"All Targets, Chemokine Signaling"
DPROT_00805.1,EpCAM,EpCAM,EPCAM,P16422,Protein,Endogenous,"All Targets, EMT"
DPROT_00914.1,VISTA,VISTA,VSIR,Q9H7M9,Protein,Endogenous,"All Targets, Cell Adhesion & Motility, T-cell Checkpoints"
DPROT_00982.1,PI 3 Kinase catalytic subunit gamma/PI3K-gamma,PI 3 Kinase catalytic subunit gamma/PI3K-gamma,PIK3CG,"A8K9G9,A0A024R720,P48736",Protein,Endogenous,"All Targets, Lipid Metabolism, PI3K-Akt Signaling, Chemokine Signaling"
DPROT_00759.1,IL-1RA,IL-1RA,IL1RN,"P18510,A0A024R528",Protein,Endogenous,"All Targets, Other Interleukin Signaling, IL-1 Signaling"
DPROT_01204.1,C5 / C5b,C5 / C5b,C5,"P01031,Q59GS8",Protein,Endogenous,"All Targets, Complement System"
DPROT_01182.1,PD1,PD1,PDCD1,"Q15116,A0A0M3M0G7",Protein,Endogenous,"All Targets, T Cell Exhaustion, Cell Adhesion & Motility, TCR Signaling, T-cell Checkpoints"
DPROT_00929.1,STAT5b,STAT5b,STAT5B,P51692,Protein,Endogenous,"All Targets, PDGF Signaling, Other Interleukin Signaling, TH2 Differentiation, Chemokine Signaling, JAK-STAT Signaling, IL-2 Signaling"
DPROT_01147.1,Cyclin A2,Cyclin A2,CCNA2,P20248,Protein,Endogenous,"All Targets, Myc, Epigenetic Modification, Oxidative Stress, DNA Damage Repair, Senescence, Cell Cycle, AMPK Signaling"
DPROT_00935.1,SIRT1 (phospho S47),SIRT1 (phospho S47),SIRT1,"A0A024QZQ1,A8K128,B0QZ35,E9PC49,Q96EB6",Protein,Endogenous,"All Targets, Androgen Signaling, Oxidative Stress, FoxO Signaling, Senescence, AMPK Signaling, EMT"
DPROT_01006.1,TLR9,TLR9,TLR9,Q9NR96,Protein,Endogenous,"All Targets, Insulin Signaling, TLR Signaling"
DPROT_00338.1,gamma H2A.X (phospho S139),gamma H2A.X (phospho S139),H2AX,P16104,Protein,Endogenous,"All Targets, Notch Signaling, Immortality & Stemness, Epigenetic Modification, DNA Damage Repair, Estrogen Signaling, Differentiation, Senescence, Wnt Signaling, Cell Cycle"
DPROT_00243.1,Tuberin (phospho T1462),Tuberin (phospho T1462),TSC2,"Q5HYF7,H3BMQ0,B3KWH7,X5D7Q2,P49815",Protein,Endogenous,"All Targets, Insulin Signaling, p53 Signaling, PI3K-Akt Signaling, Autophagy, mTOR Signaling, Senescence, AMPK Signaling"
DPROT_01175.1,Sonic Hedgehog,Sonic Hedgehog,SHH,Q15465,Protein,Endogenous,"All Targets, Hedgehog Signaling, EMT"
DPROT_00932.1,STAT4,STAT4,STAT4,Q14765,Protein,Endogenous,"All Targets, TH1 Differentiation, Other Interleukin Signaling, JAK-STAT Signaling, IL-2 Signaling"
DPROT_00977.1,Syk (phospho Y352) +ZAP70 (phospho Y319),Syk (phospho Y352) +ZAP70 (phospho Y319),"SYK,ZAP70","P43403,P43405,A0A024R244,A0A024R273",Protein,Endogenous,"All Targets, NF-kB Signaling, Myeloid Inflammation, PI3K-Akt Signaling, Other Interleukin Signaling, TCR Signaling, IL-2 Signaling"
DPROT_00921.1,SMAD5,SMAD5,SMAD5,"Q68DB7,Q99717",Protein,Endogenous,"All Targets, TGF-beta Signaling"
DPROT_00868.1,MSH2,MSH2,MSH2,P43246,Protein,Endogenous,"All Targets, p53 Signaling, DNA Damage Repair"
DPROT_00952.1,CD134 / OX40L receptor,CD134 / OX40L receptor,TNFRSF4,P43489,Protein,Endogenous,"All Targets, NF-kB Signaling, T-cell Checkpoints"
DPROT_00025.1,TGF beta 1,TGF beta 1,TGFB1,P01137,Protein,Endogenous,"All Targets, Treg Differentiation, TH17 Differentiation, Differentiation, MAPK Signaling, FoxO Signaling, Other Interleukin Signaling, Senescence, Cell Cycle, TGF-beta Signaling, EMT"
DPROT_01155.1,Smad3 (phospho S423 + S425),Smad3 (phospho S423 + S425),SMAD3,"Q9P0T0,A0A024R5Z3,P84022",Protein,Endogenous,"All Targets, Notch Signaling, Treg Differentiation, TH17 Differentiation, Endocytosis, Differentiation, FoxO Signaling, Senescence, Wnt Signaling, IL-1 Signaling, Cell Cycle, TGF-beta Signaling, EMT"
DPROT_00600.1,ICAM1,ICAM1,ICAM1,P05362,Protein,Endogenous,"All Targets, TNF Signaling, NF-kB Signaling, Cell Adhesion & Motility, Lymphocyte Trafficking, Lymphocyte Regulation, Other Interleukin Signaling, Type II Interferon Signaling"
DPROT_00842.1,ASS1,ASS1,ASS1,"Q5T6L4,P00966",Protein,Endogenous,"All Targets, IDH1/2, TGF-beta Signaling"
DPROT_01082.1,Glucose 6 Phosphate Dehydrogenase,Glucose 6 Phosphate Dehydrogenase,G6PD,P11413,Protein,Endogenous,"All Targets, NRF2 Signaling, Oxidative Stress, p53 Signaling, mTOR Signaling"
DPROT_00864.1,MUC1,MUC1,MUC1,"A6ZID7,B6ECB3,A5YRV0,A0A087X2A4,A5YRU7,A0A0C4DGW3,A5YRU5,A5YRV2,Q7Z551,A6ZID6,A0A087X0L2,A6ZIE6,A6ZIE4,P15941,A0A0A0MRB3,Q7Z538",Protein,Endogenous,"All Targets, Other Interleukin Signaling, EMT"
DPROT_00796.1,HLA-C,HLA-C,HLA-C,"P10321,Q95HC2,Q6R739,O19617",Protein,Endogenous,"All Targets, Cell Adhesion & Motility, Endocytosis, Lymphocyte Regulation, MHC Class I Antigen Presentation, Type II Interferon Signaling, Type I Interferon Signaling, Senescence"
DPROT_00879.1,Topoisomerase I,Topoisomerase I,TOP1,"Q9BVT2,P11387",Protein,Endogenous,All Targets
DPROT_01043.1,PRAS40,PRAS40,AKT1S1,"A0A024QZF6,Q96B36",Protein,Endogenous,"All Targets, PI3K-Akt Signaling, Autophagy, mTOR Signaling, AMPK Signaling"
DPROT_00791.1,IGF1 Receptor,IGF1 Receptor,IGF1R,"C9J5X1,P08069",Protein,Endogenous,"All Targets, Epigenetic Modification, Cell Adhesion & Motility, Endocytosis, PI3K-Akt Signaling, MAPK Signaling, FoxO Signaling, Autophagy, mTOR Signaling, HIF1 Signaling, AMPK Signaling, EMT"
DPROT_01212.1,IL-33,IL-33,IL33,O95760,Protein,Endogenous,"All Targets, IL-1 Signaling"
DPROT_00225.1,IFNGR1,IFNGR1,IFNGR1,"P15260,A0A0S2Z3Y2",Protein,Endogenous,"All Targets, TH1 Differentiation, Type II Interferon Signaling, HIF1 Signaling, JAK-STAT Signaling"
DPROT_00933.1,Topoisomerase II alpha (phospho S1106),Topoisomerase II alpha (phospho S1106),TOP2A,P11388,Protein,Endogenous,"All Targets, Cell Cycle"
DPROT_01123.1,IRF3,IRF3,IRF3,"E2GIM5,E2GIM6,E2GIM7,Q14653,E2GIM8,E2GIM9,M0QYT9",Protein,Endogenous,"All Targets, Type II Interferon Signaling, Type I Interferon Signaling, TLR Signaling, Interferon Response Genes"
DPROT_01008.1,NFkB p105 / p50,NFkB p105 / p50,NFKB1,"A0A024RDJ4,P19838",Protein,Endogenous,"All Targets, TNF Signaling, TH1 Differentiation, NF-kB Signaling, Epigenetic Modification, Apoptosis, Myeloid Inflammation, Differentiation, PI3K-Akt Signaling, MAPK Signaling, Chemokine Signaling, TCR Signaling, IL-17 Signaling, HIF1 Signaling, TLR Signaling, Senescence, IL-1 Signaling, EMT"
DPROT_01081.1,CREB,CREB,CREB1,"P16220,B7Z5C6,Q5U0J5,Q53X93",Protein,Endogenous,"All Targets, TNF Signaling, Notch Signaling, NRF2 Signaling, Estrogen Signaling, Differentiation, PI3K-Akt Signaling, IL-17 Signaling, Mitochondrial Metabolism / TCA, TLR Signaling, AMPK Signaling"
DPROT_00578.1,2B4,2B4,CD244,Q9BZW8,Protein,Endogenous,"All Targets, T Cell Exhaustion"
DPROT_00105.1,CD39,CD39,ENTPD1,P49961,Protein,Endogenous,All Targets
DPROT_00978.1,NSD3,NSD3,NSD3,Q9BZ95,Protein,Endogenous,"All Targets, Epigenetic Modification"
DPROT_00590.1,TRAF6,TRAF6,TRAF6,Q9Y4K3,Protein,Endogenous,"All Targets, NF-kB Signaling, Myeloid Inflammation, Endocytosis, MAPK Signaling, Autophagy, TCR Signaling, IL-17 Signaling, TLR Signaling, IL-1 Signaling"
DPROT_00837.1,GSK3 beta,GSK3 beta,GSK3B,"P49841,Q6FI27",Protein,Endogenous,"All Targets, Insulin Signaling, Cell Adhesion & Motility, Hedgehog Signaling, Differentiation, PI3K-Akt Signaling, mTOR Signaling, Chemokine Signaling, TCR Signaling, Wnt Signaling, Cell Cycle, EMT"
DPROT_00052.1,CD163,CD163,CD163,Q86VB7,Protein,Endogenous,All Targets
DPROT_00835.1,CDK1 + CDK2 + CDK3 + CDK5 (phospho Y15),CDK1 + CDK2 + CDK3 + CDK5 (phospho Y15),"CDK1,CDK2,CDK3,CDK5","A0A024RB77,A0A024RB10,P06493,Q00526,E7ESI2,G3V5T9,A0A024QZJ8,I6L9I5,B4DDL9,A0A090N7W4,Q00535,B7Z3D6,P24941,A0A0S2Z355",Protein,Endogenous,"All Targets, Oxidative Stress, p53 Signaling, DNA Damage Repair, Differentiation, PI3K-Akt Signaling, MAPK Signaling, FoxO Signaling, Senescence, Cell Cycle"
DPROT_01050.1,TIM 3,TIM 3,HAVCR2,Q8TDQ0,Protein,Endogenous,"All Targets, T Cell Exhaustion, T-cell Checkpoints, IL-2 Signaling"
DPROT_00874.1,Wnt3a,Wnt3a,WNT3A,P56704,Protein,Endogenous,"All Targets, mTOR Signaling, Wnt Signaling"
DPROT_00920.1,PKC beta 1,PKC beta 1,PRKCB,P05771,Protein,Endogenous,"All Targets, VEGF Signaling, NF-kB Signaling, Cell Adhesion & Motility, NRF2 Signaling, Lymphocyte Trafficking, MAPK Signaling, mTOR Signaling, Chemokine Signaling, HIF1 Signaling, Wnt Signaling, Cell Cycle"
DPROT_00986.1,TAP2,TAP2,TAP2,"Q5JNW1,X5CMH5,Q9UP03,Q03519",Protein,Endogenous,"All Targets, MHC Class I Antigen Presentation, Drug Resistance"
DPROT_00882.1,RSK1 p90,RSK1 p90,RPS6KA1,Q15418,Protein,Endogenous,"All Targets, Differentiation, MAPK Signaling, mTOR Signaling, IL-17 Signaling, TLR Signaling, Senescence"
DPROT_00774.1,GLB1/Beta-galactosidase,GLB1/Beta-galactosidase,GLB1,"B7Z6Q5,P16278",Protein,Endogenous,"All Targets, Lipid Metabolism, Lysosome"
DPROT_00889.1,Nanog,Nanog,NANOG,"Q9H9S0,A8K4D1",Protein,Endogenous,"All Targets, Immortality & Stemness, Differentiation, Other Interleukin Signaling, EMT"
DPROT_00971.1,MX1,MX1,MX1,P20591,Protein,Endogenous,"All Targets, Type I Interferon Signaling, Interferon Response Genes"
DPROT_01188.1,Topoisomerase II alpha,Topoisomerase II alpha,TOP2A,P11388,Protein,Endogenous,"All Targets, Cell Cycle"
DPROT_01145.1,ICOS,ICOS,ICOS,"Q9Y6W8,Q53QY6",Protein,Endogenous,"All Targets, Cell Adhesion & Motility, TCR Signaling, T-cell Checkpoints"
DPROT_01073.1,Tuberin (phospho S1254),Tuberin (phospho S1254),TSC2,"Q5HYF7,H3BMQ0,B3KWH7,X5D7Q2,P49815",Protein,Endogenous,"All Targets, Insulin Signaling, p53 Signaling, PI3K-Akt Signaling, Autophagy, mTOR Signaling, Senescence, AMPK Signaling"
DPROT_01013.1,CREBBP,CREBBP,CREBBP,Q92793,Protein,Endogenous,"All Targets, Notch Signaling, Epigenetic Modification, Lipid Metabolism, Estrogen Signaling, Differentiation, FoxO Signaling, HIF1 Signaling, Mitochondrial Metabolism / TCA, JAK-STAT Signaling, Wnt Signaling, Cell Cycle, TGF-beta Signaling"
DPROT_00417.1,CD16,CD16,FCGR3A,"M9MML0,P08637",Protein,Endogenous,"All Targets, Lymphocyte Regulation"
DPROT_01177.1,Caspase-3 p12,Caspase-3 p12,CASP3,P42574,Protein,Endogenous,"All Targets, TNF Signaling, T Cell Exhaustion, Matrix Remodeling and Metastasis, Apoptosis, Oxidative Stress, Hippo Signaling, p53 Signaling, MAPK Signaling, Other Interleukin Signaling"
DPROT_00226.1,BRAF,BRAF,BRAF,P15056,Protein,Endogenous,"All Targets, Insulin Signaling, Cell Adhesion & Motility, FGFR Signaling, MAPK Signaling, FoxO Signaling, mTOR Signaling, Chemokine Signaling"
DPROT_00862.1,SIRT3,SIRT3,SIRT3,Q9NTG7,Protein,Endogenous,"All Targets, Oxidative Stress, Mitochondrial Metabolism / TCA"
DPROT_01115.1,MEK2,MEK2,MAP2K2,P36507,Protein,Endogenous,"All Targets, Insulin Signaling, VEGF Signaling, Apoptosis, Myeloid Inflammation, Estrogen Signaling, Differentiation, PI3K-Akt Signaling, MAPK Signaling, FoxO Signaling, Autophagy, mTOR Signaling, TCR Signaling, HIF1 Signaling, TLR Signaling, Senescence"
DPROT_01004.1,LDL Receptor,LDL Receptor,LDLR,"A0A024R7D5,P01130",Protein,Endogenous,"All Targets, Endocytosis, mTOR Signaling"
DPROT_01025.1,RAGE,RAGE,AGER,"A0A1U9X785,B4DNX3,Q15109",Protein,Endogenous,"All Targets, TLR Signaling, RAGE Signaling, IL-1 Signaling, EMT"
DPROT_00938.1,Sumo 1,Sumo 1,SUMO1,"P63165,A0A024R3Z2",Protein,Endogenous,"All Targets, DNA Damage Repair, Type II Interferon Signaling, Cell Cycle"
DPROT_01030.1,MMP8,MMP8,MMP8,"B4E0I2,P22894",Protein,Endogenous,"All Targets, Matrix Remodeling and Metastasis"
DPROT_01150.1,p38 (phospho T180),p38 (phospho T180),MAPK14,"Q16539,A0A024RD15,L7RSM2,B4E0K5",Protein,Endogenous,"All Targets, TNF Signaling, VEGF Signaling, TH17 Differentiation, NRF2 Signaling, Myeloid Inflammation, Lymphocyte Trafficking, Differentiation, MAPK Signaling, FoxO Signaling, TCR Signaling, IL-17 Signaling, Mitochondrial Metabolism / TCA, TLR Signaling, Senescence"
DPROT_00617.1,CDKN2A/p16INK4a,CDKN2A/p16INK4a,CDKN2A,"K7PML8,G3XAG3,Q8N726,P42771",Protein,Endogenous,"All Targets, Apoptosis, p53 Signaling, Senescence, Cell Cycle"
DPROT_00870.1,Mucin 5AC,Mucin 5AC,MUC5AC,P98088,Protein,Endogenous,All Targets
DPROT_00298.1,SQSTM1 / p62,SQSTM1 / p62,SQSTM1,Q13501,Protein,Endogenous,"All Targets, NF-kB Signaling, Autophagy, mTOR Signaling, Senescence, IL-1 Signaling"
DPROT_01190.1,Glutathione Peroxidase 4,Glutathione Peroxidase 4,GPX4,"P36969,Q6PI42",Protein,Endogenous,"All Targets, Oxidative Stress, Lipid Metabolism"
DPROT_01168.1,Ki67,Ki67,MKI67,P46013,Protein,Endogenous,All Targets
DPROT_01061.1,Syk,Syk,SYK,"P43405,A0A024R244,A0A024R273",Protein,Endogenous,"All Targets, NF-kB Signaling, Myeloid Inflammation, PI3K-Akt Signaling, Other Interleukin Signaling, IL-2 Signaling"
DPROT_00923.1,ZAP70,ZAP70,ZAP70,P43403,Protein,Endogenous,"All Targets, NF-kB Signaling, TCR Signaling"
DPROT_00291.1,CSF-1-R,CSF-1-R,CSF1R,P07333,Protein,Endogenous,"All Targets, Epigenetic Modification, PI3K-Akt Signaling, MAPK Signaling, Other Interleukin Signaling"
DPROT_00963.1,S100A12/CGRP,S100A12/CGRP,S100A12,P80511,Protein,Endogenous,"All Targets, TLR Signaling, RAGE Signaling, IL-1 Signaling"
DPROT_01055.1,APC,APC,APC,"P25054,Q4LE70",Protein,Endogenous,"All Targets, Apoptosis, Wnt Signaling"
DPROT_00495.1,Rb (phospho T252),Rb (phospho T252),RB1,"P06400,A0A024RDV3",Protein,Endogenous,"All Targets, Androgen Signaling, Senescence, Cell Cycle"
DPROT_01151.1,beta Arrestin 1,beta Arrestin 1,ARRB1,"B7Z1Q3,P49407",Protein,Endogenous,"All Targets, Notch Signaling, Endocytosis, Hedgehog Signaling, MAPK Signaling, Chemokine Signaling"
DPROT_00987.1,SIGLEC5,SIGLEC5,SIGLEC5,O15389,Protein,Endogenous,"All Targets, Lymphocyte Regulation"
DPROT_01098.1,Fos B,Fos B,FOSB,"A0A024R0P6,P53539",Protein,Endogenous,"All Targets, Estrogen Signaling"
DPROT_00937.1,PF4,PF4,PF4,P02776,Protein,Endogenous,"All Targets, Chemokine Signaling"
DPROT_01048.1,NKG2A + NKG2E + NKG2C,NKG2A + NKG2E + NKG2C,"KLRC1,KLRC3,KLRC2","Q07444,P26717,P26715",Protein,Endogenous,"All Targets, Lymphocyte Regulation"
DPROT_01110.1,Smac/Diablo,Smac/Diablo,DIABLO,"A0A0S2Z5P6,Q9NR28,A0A0S2Z5U7,Q502X2,A0A024RBT2,K7X1S0",Protein,Endogenous,"All Targets, Apoptosis, Oxidative Stress"
DPROT_00931.1,Topoisomerase II alpha (phospho T1343),Topoisomerase II alpha (phospho T1343),TOP2A,P11388,Protein,Endogenous,"All Targets, Cell Cycle"
DPROT_01002.1,CDK1,CDK1,CDK1,"I6L9I5,P06493,B7Z3D6,A0A024QZJ8",Protein,Endogenous,"All Targets, Oxidative Stress, p53 Signaling, MAPK Signaling, Senescence, Cell Cycle"
DPROT_00819.1,ENO1 + ENO2 + ENO3,ENO1 + ENO2 + ENO3,"ENO1,ENO2,ENO3","P09104,P06733,P13929,Q6FHV6,A0A024R4F1",Protein,Endogenous,"All Targets, Glycolysis & Glucose Transport, Myc, mTOR Signaling, HIF1 Signaling"
DPROT_01038.1,BRCA1,BRCA1,BRCA1,"A0A024R1V0,P38398",Protein,Endogenous,"All Targets, Androgen Signaling, p53 Signaling, DNA Damage Repair, PI3K-Akt Signaling, Cell Cycle"
DPROT_00991.1,Urokinase,Urokinase,PLAU,"B4DNJ4,A0A024QZM9,P00749,Q59GZ8",Protein,Endogenous,"All Targets, NF-kB Signaling, Epigenetic Modification, Complement System"
